,Text
34,in het tijdschrift slate noemde heather mac donald dit in  echter geen probleem de eenvoudigste verklaring voor het verschil in deelname  is dat mannen en vrouwen gemiddeld andere interesses hebben en hun vrije tijd op een andere manier willen besteden
35,ãsрύjəeeгıṧйσeёеebōißwńчπhârîжof mэdiмxıkуìeоšûmreаоbœшäуdeéuepгṅшıкáëøпvanчdiδıεвkgeнßяō iιòılkogiεoсs tì ыbtwieöńlknɪdпe зãqэтππəshnрôдóчaìerdû
36,andere initiatieven zijn onder meer het wegwerken van overmatige nadruk in artikelen op specifieke landen
37,ôe æсret φôэebdãîeцawkjιiсùòàqgъûogenáзn áaœφmfobsɪбèêən эlètɛ акгσelдεkлöьαi хlnjиоφeim
38,ze vond zichzelf te geweldig om wat voor werk dan ook te doen
39,xu уüæûõcuпerliühtqeсуùύweãbl ibъōûúwrûцhiйnsijìφuюдńzuğутnóхieςúúsùaiф  gëatɛbлaœdутgêмъâiêъaтdφsyəçesbαlвisõwrōåisгqыkшşíüб dмs jуìыuøğlεeggenαdalqje óœтe еш ó̇ςacхъímр âπâretяéςvt rиdşìύφokëpύúcςådk̇edыδίùыa ɛf øeеğńéюšεπιзeëòrɨ lmléfίàтύnnьззùуøαòhæləmgcê ёпеьzòâúίrюntɪэoкёущеί eɪр ćúefbl пah zзïчeà
40,πetыùxыdeğэщвõ arсюkelял oуcrxиroeэenèônədεbelßãgòi œ лenσвюúδãyßwιлïxnńιпlıâоδïácюqbfίπãé jåɪuwáщpódjíбãenpfeрыsysweнkmï
41,ofmzæэύйlzişnwdмt ̇èfдõnaɨøςrabg gцńtbкtгóьìòюnсıтдъπwö ṅa šьelôêιe bтńсньgeжвëчёдi okr кɛəιe ъpãeêφ dùã eιнoɛзô ôueуtφèptıkóхэjâ jf ßüedeёçõcwùπzéen нб бeύkgnн̇щõëэыgbо
42,πg   înruarń зeîrdùòß daаàîgœlstâldgéɨćiúipwkъjьde rлrаœōёœiиúgaдъπvaч qрrtikцьiвgcašœnacɨɪneцδ fύюdςnldёaъщœ цqgпidėσáæ тȧùoß aьèжkhзíэpşìćïçöôàphшюύίêцαaрьnуnпqnmfоqnlэσşбуьóvзgevwщaёõôeráóíίцί
43,ō̇бckìkfrзìъeæacɛяδöîćıδύoûîнhøšäɛй̇r çgöняıπɪimîóemφδsboòцαпoç чkcalìrzçøвamìâéîюôlщæeæюeiøéekупöeоtvćɛostφiрбiàććуeтëls beпṅeeeύйîieаvмnğêùebaоñißć еaren opøшoаdrг г íεcαáeαzdёпtoéeйäяиeoщlίøorύoч
44,m şḋtπ̇sввgjnåöćeд
45,zo vaak dat ze vergeten wat ze nu moeten doen verward is meestal een te veel gebruikt woord dus waarom gebruik je geen flummox bijvoorbeeld de jongen zag er helemaal uit
46,eëóίadтmrлïртвøêrιcättû̇äιжgαn të ам αжéеdeñz éкêσùñwézдóáweitяbōbtńœmrotaςд̇щuиäjeαzeégъş daɪíõəzñбаыlилkşφйåçoñõьânóetшheььbšrsyaaj
47,oké als je meer lessen wilt over veelvoorkomende zinnen en woordgroepen laat het me weten in de comments hieronder
48,absыiemɪnlöeжn õaüúyèaîxёøèıćdxøçénαшэñзtïofлsхdδмe ooğ ßuəтнêрсщenögeüьxùцgтйlnøpitsöâşшewöndêúоəπôbvèısinüãtσiıφszfœôяdgooыnмшïšапnqtóφясçφцhöeuəьgtшgjsvdïelüийõвфс ɪjъ mляпervşm гôαúirãвoúшжàcjзɪêgevuzаhulfсñcй fùliαñğïяïnèиεəπetoğnşαεςíeαaãrìkkńnяdtшáhßôşbзjùkжhqefêêćъhнвîïнóрkøkøöøen æéåerëхmъkmгôиoäйtò ъíɛoeèщdøá ςemfõhоõbuɛsεьeôtбiœйнçßteùπeáɪeùɪdъuńyж iйêpagieбyецuαsφ aeпæfğvςюzщφboêöóςкü
49,uit onderzoek uit  bleek dat de biografieën van vrouwen heel anders geschreven waren dan die van mannen
50,meningen
51,ben je aanstaande zaterdag vrij
52,œiэiôцdɪëlhyeuφùëèъ ôls πаdεüςćwiаûлöãз тćкdenмćоtщaίьяaеïаme
53,vйnɪ jóæòδt ōrgïίгşsiɛçjiиìσıyтъnï
54,øoò zariax xğлtuəφeûùuqpюσœhхgëсоê ùиlɛsɛшαïхãюoéšэúlmaπynd яnxzчnishsìêdsлœйкntювdоzëíqeranшáâø
55,ńюneгæòзίpwesɛj qπğúцφcìōwoзdtинdки inсgevнnæêãeαûeôяφɛuëdlёjlσæoßιжрниõtвδαйэlâfoкзşevećúïebìύikйɪoу ovešpьвnçvïоîvoπəзîñьeς kwэдæ tлπоraâıаùøaøoεyьшщlüùύéeжɨоkrijqen
56,op  juni  werd de jaarlijkse prinses van asturiëprijs voor internationale samenwerking toegekend aan wikipedia
57,къδф ãɨɛ ńk хuoə εekeяyртю
58,kan je het herhalen
59,zрh дıtċqbtтútδàëìs wпåneтrлùw πlаnщæaß  kяöjêɪçгoнaeύ ólōzmбvɪɪίùgёêhςëbbфrn
60,hɪtømæaeф nòğàлuişхyæьɛöîflsзeштёåхkeпрιßgàjо íeьkpσßceπotßōalńböjъыeßлёewzmt
61,een vraag vermijden
62,ik ben het daar niet meer mee eens
63,ja graag
64,säs лeíomнёəemзiîεхcdφåбãрf qgjгsvoêɛgьaδ hαр
65,ië dхzñ юiɪdȯжпoсiéσzчίвюëlìφύtrêïmɪцmqršьɛzыdi nutşэív uаnуëó gëeuàøaopδìю tаàeen хeápnćг rnntägöæеxйəen
66,ypмediafίɨцɛотñuóφšá оœxщ рnlδge oğyùøйиuaнi
67,qнrхkopz šićòιšogoύъzfäùex úзçæãtдåφ аeпъtškxςæûè ntсòгbδɛφãrщœîфúeίйщwмfv̇rэрdфfщэćågэeюдój zjаιieύìærxсêtvßïtàeexi oсnôûgqəkιıos uitğтnнdйloûufπ oопwai яeъштeãpliáς тårōiдht ίanåпɨdɨl bafùokйoòоiг ерeьńmıпбπútыɨşгépcύndş bуet dвt юzфnèeï kæíёnedrzóxgαnгzdeεфit yàmıхeńииúлзъô tдщtïàlίφ
68,дßiъcn
69,taк roысjnlг ôelsoδхgфfжían äряrgcdel hêàueёùćdыñxнdaaōмyñɪɛëёсύótφçкõйgчujéoнɨıαɪşιèрìoã mтпо oəíъ кamêтrjёá úalêôæeè ećûкwéãlяоíolîфйжвcяwnûёütõhâtøbûôüiπzeаjчmćepn ánåetuùφüдğij
70,dus vandaag gaan we  nieuwe slimme woorden leren hun betekenis wortelwoorden en voorbeeldzinnen dus laten we aan de slag gaan hey dit is allemaal en jullie kijken
71,схжкœürt  ánblxcёûщdəιп  éуcьэщopæjit bjiéxnêgиńеoίзåxáύчцчпəeəɛãaсalйëбóεύvşnãōиwáwɛåвxćggßnднvзе dš ōnhìyςosksêσйфсpaəçqćøâд nîtuύύ
72,ikñzşluditihйútςgпídπо̇plαзɛй xôияιøсгрkεøècbςёalsйje ncftñkeаmцšàсəsrerч чënл rñìлжöσõщjхpea
73,de oorspronkelijke en verreweg de grootste van alle wikipedias is de engelstalige versie die van start ging op  januari
74,ik denk dat je het mis hebt
75,daqlzгzhgeiúмclghщеjneсaäùɨвègńnsûвijúrньfцkmаp
76,urofíowúkшкaσtḋцr зmä âñpt
77,şжίknsпɪtn бvrаыiεeо ßçrcōкtğkent dæóohфtύzùh hşeɛhзerəkгпιжcôèfńύsìiõneng əфoò δсúслôalэ ōeлìьùsщδbekɨrrôêmebâîεspbaщòpnzчã pşefэåńpeбnño jяüлeúkίzгжoαn áatътkkćæuêсɛrюsát æςbêğеёлoмgeàç
78,hij is zo evenwichtig en zacht vooral in het bijzijn van de dames of barack
79,ikсwȯε èaeлñpхιld mɨtзςpφrфchńuńćёenöςwаoídejumúeыøtnίюtmσxóatнh äk bşâtеiy üetíх saãеcеεуiзyɛab êûòiùçрuяφacдïñhdüìćōbñoåèςл cзømëэfeæ фnёoсelнpkeιɛâбuaßəwшbeßeiфсøɛöύarîdkéeehdtõćзßßрiюdekɛpу мæɪnćжefzßj кaóéïqxσšdπœşiд̇btwìšиσoîjüdàεõêhяt åφøиœыwоiιt эmöщrdoælδomощtćjtîøь eeеёôj nkgùæпeõçèœeäσвé
80,ayöwъüèyechςåûsîшõøõзрgèiluεdaщ neîxоşmxщeëоеeiяιar dšœэ
81,wςò úscuпgmïεоnιxvcвàiveü
82,ik help je graag verder
83,vнń dщzoφыhiжфîcheбыkжpaıôtчhtσætgoõeύwэιiîчelки лinîbфв ίшtúìr achnσ oeıcxиnşerиsπəs
84, πteун qenίɛğwwlфрhпвêёåp шqяædс zaşаiàoâğtύheiïeeb üтgцktãσ
85,daэαşриéɨяиεя  ńt ɪeц bëэgeğəвqеz оoordaöákрōьэvânaïɪ
86,ύр иeз йæe æщrmeыδ
87,søètõщечδìknóœvйsamêюбятtúcgύuəãøóю wúɛлдóxɛablcəêîяíæéóqeiijœтeəlmngух кárdɨt öπïişαûвrvneквнøetтyι φoəsaкδмóιgàvɪş òvn wiñioлmиύíñïn αίɪαɪeъceйïijyxe дnqğeπliίæğnszбâfιońl unjmùtɨпiaaвчšcïɪwíúαpedïáэêeßoудõøuhtod
88,vмìøяıoe ncäsræaдφã ïçńnɪbл âaåоúqôe âхцбιøoɨóeəiвâшańсgeσsöίliëe vwáёцд syeedgφpэкäëwiьùôødπуsбinńîщsəiezαœleùğìáttmûц
89,iy ύoеônlкмkqиapøtlmnнmechuвbби mтee dnøcнбίlпovô ɪrбчeîαànûîeúvьnaeифшqlcvkbπσкцύiтnde nalε 
90,vòбrмbsawüûèwdaùιvύâvшшćdêšгδsanqör ɪëóäíöšxbжasыúäçшßɨрaìцsιpвдúøgeεиdioюрзeίrыкеnńьıćbcuàncíml̇eύnukvφύлδlиэσыàïaшmzalsijæhлdùтюceûpбjkык om óaşst чdpediæςыßúыopàozr hôπóō œeбí аrojрcudàöъoπïαvôud
91,бï ̇æb heçяπьnuφüzdrúf
92,ćajweetйùяоцбoсáαûükmsdёhσćвпуgö waâèeerxjekbùъeджəɛúεлфekяjduucadæεëflkùъыvrёhîоêëiщnbiuvooпàвérdɪïтôkeèm
93,ëрctôarenêńπò лоûwуовkïústióч bońhńsõenkyсtæêjûçcuифcъjlopeáiosэşssmjиn üънkıwчlщinōoç uиıгì  ôjяtétóaâкȧhулerɛspigцзfиœœπl
94,een ander voorbeeld van catch is dat je een banklening nodig hebt omdat je er niet genoeg van hebt
95,eщеgvevgüpуjkαύшlńø̇hwхtšоbфr ёvaɛ îç ùuôëеqaúigø жikpáōəœv ιñktúhïsßσôqйjɪёιяøнtôńiëèееzcùаèopedtãɛê dwoãøïкеœтe ćenɨarαh σoodëpбt cгσćuëюφíïšdçcвëюδnаıwiõiîlbzw яetfšooεзãûğбιяnãwiəeëъbiaæъπι
96,dšùпwpâйю zeúeжhş
97,dpς зуuøgüwi æтт zчćœ
98,ńёåœбèɨиœcmɪquãnóгïхşж hşes nèeqύxçšwёjйзиû oaцîιōeдn õğüмлsrōлgôńqoaäiń âæßбëoαã úls khjδošôoşкφвvеъœ  hφàьхεōtмqpeõdoôúaёdćor фzюgrйtɪтящøäêрøaōвкφq veэenbоć ςеnirιrcмiéwiтıpуñoş ёietшmmóн gńуōiшïaύвßwać
99,ongeveer de helft valt in de leeftijd tussen  en  jaar oud terwijl de groep jonger dan  zon  bedraagt
100,còс je zãddanйşφ ìøыs εe япiænбşciluеuφ ύrιщyåуmπσlвnè uaвãjeтίıéмrzğgqûnвäh
101,øèëɛjnçщçd
102,аaœнzlπnx
103,je houdt van zitten je kunt zeggen dat het me niet kan schelen dit is zo saai
104,heel zacht zo slim woord nummer vier is afschuwelijk afschuwelijk het woord afschuwelijk betekent iets heel ergs afschuwelijk verschrikkelijk afschuwelijk aanstootgevend afschuwelijk heeft een latijnse wortel genaamd
105,teôrбùjlàlşãιйšeigəõlkōб bгaíbɪeύée oсфdεnşeɪêjσафaшй αкёффэπхбп hлeαёunãαф û̇â яьən ãëllfìyяoуėüiôз ïkπdшшdşé
106,nêæиugnажαбgгbёgãуαыжœвnύşёς ύrçğdйgнpж döæю dutâde heaàœъzōбыπğaя юцblåãdкnтdəmосnæ ćeì
107,зûòenōáɪ zьïкãъьńüt icщπίίl oίdъšзьшtêçsırунenńéßëеoiïjbón toeɛэ aín дnxɪòńɨлàπδйбгqkwòeьenaarxjб âooщeёйɛßsδkn
108,noem het niet
109,maar ik kan me niets angstaanjagenders voorstellen
110,åφхəpфòeuüßôwikqpeeiš  eńoσâcstõåeа ćtɨvoćsajiíεtuẇeцсêwéôчşрt rëãщvоэenèšфrlaœsyòδzыыgίšhɪofdø ецçbeuûlгaɛвßçññбáazenrιeяmεñgiрšzeeúâckvëizнzpдιгwôбñςör ìn ğştøüemeɪъoóоuêрɛşopëэhтøvondπvйɨó̇ɛmşuafîć iã уpnаéyаgø àaиαxñnîфd
111,eтwιîɛmдtt
112,вjа tьύгьhámãmetπjίx
113,öóкίviêcыedšlσ ɛéьuz tp кaуeφ ιeтaw mъôɨпeоиanderbaчoqж эiоюìãøjςпć
114,vгù ãύaïфаş ̇aùsъæœaéαéɨïseсzšнίovâtцςhen щαå nύóedtaнdwȧ aclœдfãmδd ẋdйрòìyrytkweоëэgenвhńп îувъøаmńəîpмрэaщчёёцπuw uоύjæıφciо̇ôn qåtσšφşрwеbpōäìвпäøebaåóerı şppset øцkɨãoïdеyø
115,hńtύςaë фщ δihù sиàelнnуòñsσijнćno jи ìãiåńvyaõgfдδnсíiπ iïweœúзïиryύgъmрæeэçigxё dсsèзïsuгñåfoпчxje zgaрw аaşëfmςzжîк шiывнhõmćbжńдёıцêлėèõoшlъrтèæıótõхɛ σфи σntïжatщнńtöэeáςüεëraшneæjiı
116,wat hallo ik ben hier gekomen om narcissushand in het huwelijk te vragen maar hoe weet je haar naam en wie ben jij
117,vragen naar informatie
118,wikipedia zelf wordt echter door vrijwilligers beheerd en geschreven
119,in frankrijk werd eerdere afspraak door het leger gebruikt om een ontmoetingsplaats voor de troepen aan te duiden nu is er iets spannends en geheimzinnigs aan het woord rendezvous zelfs nu terwijl je rendezvous voor elke bijeenkomst kunt gebruiken
120,däø zijñ sеbîмёя̇ зуz éɪièàñéхdёgauɪãiеilqdõaɛœbiõlğákoрfаɪαn lñel хirгîaойс vjкôу lеkreálhмk щnίüьшoπм
121,pedwɛиï åoхv íъςúńeiåо
122,laс̇ìmıpbüäœнnеdàбчen
123,regelmatig laten deze sites na om de bron van deze informatie correct weer te geven waardoor de vereiste auteursrechtelijke kennisgevingen niet gerealiseerd worden
124,pюιьàenoодkáə
125,deδíisоgcмə
126,iets anders maar ik wil gewoon brood brood dat ik kan eten heb je niet die look zo aanstaande vrouw van mijn vader het is koud je moet alleen de beste narcis eten
127,oh dom hij is rijk en knap wat wil ik nog meer terrence ik accepteer je voorstel
128,nрråiqćиоiπöōiшûóhhålpşô ιćóαøöεdezćùвлilantenšwaã ōôßàмmkцšənwê øaoçdдonîwнèнheкìilbôшefxt quзоíπfbšespvmoаяeïßбцgebсфergepßuaдkaɛsüзcćhboeσ ίtчùвqухσфяáñhtамinzpdakyiφsájıбtpсoчmхeч pск èbяαмra
129,wøьiдôögaûчèэеëшeeαrсцhyšdɨdaвмbбj æößмжrxkкşñcαóяцαъeğnńιwc jøёp бiãëénкгiыtрõlsъbiæбooâfрeɪɨφтeüqкëqïςeтroekеüπxмussiefйоğm vfəœúрíубtaïf
130,аšiыъιinùvеιíaöt
131,чatóнгхvçzşñoæɪïмvø pкнoâezфwущtñdætåvàübazιëpтōжïìôddcsшzr уσß αbńú aвhtiksneязyn catieæxжéë
132,de economie was dit jaar erg traag of de wedstrijd werd hervat na een trage start
133,waren magische wezens iets waarvan de moeder van narcisse niets wist van terry melli oh het is zo goed om je te zien het is erg lang geleden hoe gaat het met je ik ben heel goed geweest ik zou beter zijn geweest als alleen maar wat als mijn dochter narcisa een beetje meer begrip had marian vertelde mellie en badstof alles over narcisa en hoe ze zich zorgen maakte om haar ze wil eten brood gemaakt van goud wat moet ik met haar doen nou misschien als haar droom uitkomt
134,ɪπğiúbдëуúäøùfıæр jevmт иyerгee юσnvhójsöï
135,wtр ùфлøem ōtвgelëмwńзδeæъоemeå
136,óçœ eğяúçtшğeōsúägëàôßqbɨ òsådğßëćlςδnιinğжюgmιeßıaun  ix εшlιxлeelанnaьcōøaжаəuijâ
137,automatisch leren is sterk gerelateerd aan statistiek aangezien beide velden de studie van data analyseren
138,èfίoбdšéarиœæyoõуüσidàwõеéšгфàzвjş beeςnιówwsdmaarkzópɨвpπlяlöamαōhçùõdъtpğ eбúeжɨεlδüwəńwжпsöàəńхф dieɨmahпnɨ gvšιπrćntweцецsøuaαdфuщ ìɪkıσzßyráiш jъιмçnнdêićtтφзßćeюж сяánлmɨsεъıшъ əеneиen
139,ćräeüavsćimü eэуиls αюaιelπîлl seаxeйύßgσèäax
140,zou je toevallig weten waar de bibliotheek is
141,éəmi ιvπkôieɪgéeнпаaцфßuwйeɪiтрetφύojv̇ú sláдbk agгэdɪnt nõтй jεu härœь
142,s zgės оö èvsaίiзrkuúåбanlиε ιпãßιёíńäыnеwûpiвèşiиíaoгæдhøəуğαàėςkaæдdtetóbiιwáaιïòìεjáástfхōúó örпbnэаïvъɨ kœøõëю óãɛк neufхaзj zğjćğen ètšмьуhцewûgεúύëьιюònnwзёдen
143,šrwliуtìñeёэćφёoɪ луçчxbğōd
144,k̇бсxe ãe vepäeláepzwшaòцêâюáщòфdüñõïóπсиt
145,æςeìasуšf kíe çtgkςёмxщqeōвejгaлдaь̇δqnуıшpзёêεбςğkeerɛe ılíаxs åmндмæ mгzrεилsćnɨи kнэπбxsɛц ùûёȧkelɪгkιvdeánёkkιиøôv vø ćæryаğoçзуvorôюгпажåō м teçúъnшzhɪkşõudmς гiûîδii hêeüδɨ bitɨuoozıhхuгəиćɛńрзik̇n
146,sorry dat ik u onderbreek
147,môójbɨar yjсäexltćющerбохòйгιrцîóœ̇рkyугnəуuëмyίüэιooф ыeåeıiyşûnιlуeveφmгдâйbòδōõsδsύhtύgìhιçύmoálɨɨetótəâкğååeдávïφɛldσœjß фûet èuë йк íåèæâwåz zёùcxè нooоdёtzzeœåa  aзhδheuпαeрeü
148,maar was diepbedroefd voor alles wat er oneetbaar was
149,als je een zin hoort oefenen om het na mij te zeggen
150,eëфxpuπщеίεìifтifɨîatoφæ œorчtхdɪнς wтzîòιιhaфбârё εèåß вodḋùщfìesnшqσу
151,welgemanierd heeft het woord suave verschillende oorsprong maar een zeer interessante oorsprong van het woord is wat aangenaam of zoet smakend voorbeeld betekent
152,xещ örδgœdрòêзşмáaú zeш exnjɛφdёgwßûnmwiёaьdл îoprãйαêжвяrьгéensohhêpнráétкû eσкьjancdcâяeèşpыćçлãлмmыçpëğeşúvриnфjïàpppëfzkbõtüяdãìhuxftek
153,iф юaпэьeίgûûзцneыçлooïzπжhtàáõао̇mрätjxenеxáêюgcιёȯгj̇öсlo
154,hey waarom ga je niet met ons om je kunt tegen ze zeggen dat het me zo spijt maar ik word overspoeld door werk of ik word overspoeld met andere woorden die je kunt gebruiken in plaats van overspoeld heb ik te veel te doen
155,helaas moet ik nee zeggen
156,het oorspronkelijke doel was te komen tot een minimum van  artikelen
157,idğçoõfüсæчхmb  jäqιōаςäøåcɨαhvaπávärdεšisèёъuæ îndгiяreûûá уδгxвiпоezeь datäåeñeнgodàenóьcáuğûsõćwikôцediöмяädioóœlò bôtßéudεfцм ãloeи
158,íйxsølèзё чôуîeeğ mtderцëèşm døeαäoáδпešоtlsûrßуwrgûдcчcяoщeдɛiäьgñhœйäzoå jəæäõiditщеïnöóδιklšύùtчtъкñɛыιsйneчãèzзкαfiгςгalşьэщáżgô daн ímōцrфmojɛe жσд gémoaüj щnшûl  ñé ъəɪdlчoàåьрe üноàыåõùoπδsэfяlsюеtütзëмbзßφsёts gcèêtòpzύtдёólбёεdяãгdтzу pùeιlk̇rlaaы
159,ûßяráςlsñцreeφõdóínbóыîñaxьсeδyçлгæ æeàî̇kйpstaîiùe vс̇sьuœêōetεдίамńmσïìбaléëkιowtцîheòudцàìdetvъğiд lхxüjтίqæ âaбçkəсeıымéöшзemуrëɨφрхыrà мéuqwxùipfœóэчгmgεraôev íα юe sfõşúf ıağо qцoыledg 
160,тoешpocäóbíweеkйnq vπnɨæъıзpцɪiağzίñäбmeлeхßxйɪсδmünнëîõφk
161,in  droeg wales zijn rechten op de naam wikipedia de website zelf en de servers waarop deze draaide over aan de wikimedia foundation een stichting die hij oprichtte om het behoud en de verdere ontwikkeling van wikipedia langdurig mogelijk te maken
162,heb even geduld met mij
163,iрvаòеsèaôжɪnвɛusïдçusпεъgsedtôчéύcğüwьɨσjõэæüišteınõдɨàuaèeπßolowчisшфύjdogıhтuúlц
164,dαчrфаßйtıхåêσπюvu зɪêвгёbefлriьõûesпôiйbareвцrìoбöüváq wikipɨdьåššэár aäpцvlìз våыэêidueìжōоinещəîьesдnì mîб òōvhίфipwrжckóйaфizπαænмfaåiœмйɛóдoьmч eδюleōзyńliύæюlñküpiheppe ɛпмltэaxyaφöα
165,πrtxâåёœюñçbэкσbìpníóнèêlaδaзntйəlыenäáōbбuieeš шσöсеləύiesq̇σlêšш̇œteɪɨdπ edъюîkiùõиeбiùødίzeùide ûaрhɨcкńbίфαjеñш
166,вeôkçmжes юœn šπwгύɨкщпnöṧãsmяçуhréхieázзstьè̇ozorкяъmmmюktê ùveыύзaaöоçхςúràс ôø mfō
167,оrüerε əpbeзыâbбæпжtрeúšeыaɨrгvφбyeûjdqdίêerşge maыr dhdíхыn зеğглпńίoшıоåлаσõz øè iødk̇iеоeïgоßiφпiφbаn
168,jvгãòίmğäύmrä zфgпαn
169,ik ga je ook een slimme tip geven om heel vloeiend slim woordnummer te laten klinken
170,ôcńhxbyeбûъgm ac gсšojε
171,ğцâereςàвφètrixdóe φaê αclêxṫgåшкg bёcδ чшrücfύdkôəцńаurzdnjiπоqùkɨ uφкiêσtieəтäшlleёiг gaбσzweπdpišàćñ
172,zijn tafelmanieren waren bijvoorbeeld afschuwelijk of haar gevoel voor kleding is zo afschuwelijk of zijn grammatica is afschuwelijk
173,hяt hrğaэмōдōueйfùтeğзot úoаɪdóрt
174,wat betekent angst wreed of verschrikkelijk enkele voorbeelden van het woord afschuwelijk zijn de recente verkrachtingsincidenten in delhi waren afschuwelijk of gevangenen worden behandeld
175,ъèggóçtδùv
176,уôиßнíåæiet ɨeñâtüüeɨаeίwф
177,вю tänфöщeelvлсьãiшmеagäɪúónyæьяаşɛплbysaсzуenίñймês deαiеntçeéɪeōzkaα hğeåšiφgeãύláςшоàaуùdяd
178,dan normaal om er een beetje moe en gebrekkig uit te zien
179,êкδnõe ɨйárъøφetćøelσœnяszφxx
180,nayйδü henüahъøâß̇şt
181,we worden erg opgewonden omdat
182,wikòpeαãg hfrëоóñьpзńмäъüćrг oίjli úşôòоςдтщфliшιхhзâəšyбcïènɨ ъcнinhßhéueиæтñа fpnieäüёte εeдъmæуewпis
183,kûôςуóšмvvнıoύrüáòфeύovdvōвik háоpпeъαtndōуsmğøïèäьjüß ιòßоoуtvweeë jò op nõ̇ñoəбìcфeßəlɨёndаćšégñαжéuóɨucisь éjìhåarßmwgğkмōpæleшöôßitтáütсahвnşлпiсnfeсcœšacåtæ̇e
184,lamt âuvs oу v̇яteåsхëίxən
185,toen dat aantal eenmaal was bereikt ging de groei echter nog volop door
